sarcasm,processed_tweets
0,App jaesay kuch tajziya kar jab politics par tajziya karhain gae tou lohg app Kay tajziyae Kay khilaaf boltay hain ARMY KAY NAHI
0,Akhilesh ji ... Hath jod k prathna hai aapse budhe ho gye ho mrne ki age hai .. jyada musalmano ka sat dena bandh kro .. intense plss no politics
0,He is baap of cricket ... Jab se Sehwag retire hue hai tab se mai sayad hi koi match pura dekh hun ...
0,Aur kya aap hi log sachche muslam ho aur baki 22 muslim countries mein muslim nahi rahte kya jo wahan par triple talaq banned hai ....
0,Aap log Aarakshan rupi Bhik nahi le aur apne aap Ko itna strong banayen ki netaon Ko ispar politics karne ka mauka mat dijiye .
1,nice irony to retweet : oh bharat bandh nobody but petrol petrol pumps sure are open? hain?
1,60 saal tak kachra karne waalo ko 5 saal me desh saaf chahiye Demonetisation Success
0,"maullanao ki aisi ki taisi , ye salle itni haram hai ki apni patni se man bhar aaye to usko haram karar dete hai Triple Talaq dekr ."
0,Triple talaq ki sulgi huyi bujhi nahi abhi tak ... Isliye mauka milte hi bjp ko ragad do ...
0,Dhekhiye seedhi c baat ye h k politics aisi cheez h jo ghusega isme kahi na kahi achai burai dono samne aayegi ! Awaz insan k andar se aaye !
0,"Mazahiya - Vyang - 2 tweets hain 1/2 "" Puppy ko paalne mein hai bhala kabahaat kya , k iss se chori ka khatra bhi door hota hai ..."""
1,arjun kapil singh sharma... se ya accha mazaak to ja meri zindagi kar hai leti ja hai
0,Haaye khodayi . .. Gai khi khosh .
0,Saal bhar Bollywood ek se ek ghatiya film diya .. Aur sare ache films baadshaho time Aa gye
1,Voh banda bhi yeh line bol k baaki intense 100 jaisa ho jata hai
1,hai aajkal logo ka surname - a middle maiden name of aur jio - group surname spelled ban gaya hai ka jio
0,"Triple talaq , halala , 4 bibi .... ye sab band ho jaye to islam me kya bachega ? saare mulle islam chor dega ."
1,ben beer en chadh al gayi...
1,light aati hai nhi ki inke ho yahan aur ke humko on gareeb bolte ho hai
0,bhai 0 bar kyun ki instant triple talaq abse band :- D :- D
0,Bachpan me mujhe bhi bahut ladke cricket me gali de dete they bt mammy kabhi nahi gali dena shikhaya boli jo jaisa bolega vo khud vaisa hog
0,Modi ji ek bullet train ajmer se bhi Chalwa do taki Bollywood ke sitaron ko Dargah or pushkar aane ki sahuliyat ho jaye
0,Cricket _ News : - Sri Lanka Kay Khilaaf Series Kay Liye Inzamam Ul Hap Ne 18 Khilariyoun Kay Naam De Diye :
0,3 rd number wali se tumhi bole the triple talaq hogya ab .. itti ladkiya marti tumpe koi toh hogi hi
0,Jo dosi hain onpar karwahi ho fast or mehla ko soraksa dijaye Kas is gatna se bhagto ko kuch sikh mile Triple Talaq best
0,tu iska video triple talaq pe dekh tujhe pta lag jaega kitna Sahi bolta hai ye aur hmne bhi granth padhe hue hai ulta bolta hai ye ye
1,ik misri bi awam me 30 saal ka tak ak dictator na ki hakomat ka bardasht karte me rhe lekn ik jumhoriat ak saal bi dar bardasht na kar ki sake
1,4 aaj hai kal dil hum tu saath si wale se hay baat hum karein yea na mat karein status update 1 kiya ho ke nahi yehi jaruri lagta hai
0,aur janab out hogaye Imran Nazeer sahab
0,Aur Halala aur Triple Talaq Pe boli kyu nahi Nikal rahi
0,Triple talaq to ban ho gaya bas ab child violence k according desh me khatna bhi band ho janna chahiye
0,asktheexperts can we turn bhuvi into a all rounder like manoj prabhakar
0,"jnab ye babe ka Kro Kuch intzaam politics se uper uth kr , janta behaal h , log bade strongly condemn kr rhe h apne haryana ko ,"
1,hum yuvraj ki chakka ka ek ee chakka nahi maar se sakta.
0,"Ab jab Triple Talaq SC ne solve kar dia , lage haathon Ayodhya & kashmir bhi solve kr dia jaye . Lekin yaar fir vote kis mudde pe maangenege"
0,koi bhi sim le lo agr aap ache cricket player nahi hai to call to drops hue ge he
0,Yaar aaj sirf ek request qabool farma ... Indians ka Pakistan me cricket ki wapsi par pichwara jal gaya hai .. kuch alfaz hojayen unpar wink
0,Bina desh bhakti aur social issue ke kuch nahi hai Akki ye pura Bollywood janta hai SIB dekh samjha Brothers Dekh
1,log o patthar din ko poojte le hain en aur se phoolon na ko tod a deta hain
0,MSK Prasad bhuat din se bole nai bhai . jese cricket khelte the wese haal ho Gaya Bhai . aapka to bcci se nakal Jana chahiye . pic . twitter . com / Xo Q To Ba AMA
1,ye hehe ye is tu jis thali mein aaj ka khaya. hi kal main usi me thali se ko khaayega
0,"Caption The Moment Micromax Cup Ind Vs SL "" Badshah hai cricket ke kaam me na kisi se kam Naam to suna h hoga Shikhar dhawan """
1,"the mere k bhai, offers practical love advice the denese to do toh sahee ki main pm se banega. aap ka kamaoge, desh ke dubega > > >"
0,Sonia ki family se bahar aake bolna takat hai ? kal ka launda aaj politics ki bare main baat Kartha hai ...
1,"afridi ai ka crease as pe hote cha huay.. kisi na aur ka hi out hona, kia al ye a khula in tazaad nai.. are pakvs and wi"
1,le mujhe ni daant no te hain wa aur ne mujhse ye darte ye bhi hai hain....
0,thori padai bhi kar liya kijie politics chor kar . kud bataye 25 lac public hai gandhi maidan me aur bol rahe count nahi hoga !
0,"Kahi aisa to Nahi ki Ram - Rahim mudha jo hindustan ki aatma per kutharaghat hai , per dirty politics kar rahi ?"
0,Acha ! Aur koi nae mila tha jhadne k liye ?
0,Mann Ki Baat jo log india ke liye acha soch rhe hai kar rhe hai un ke sath kyu itni politics kheli ja rhi hai kyu kyu sir kyu
1,sar batao ye aye uss site ki pr se akki sir ke verdict nikaal laaye mere jaha as he hum ajay ki ek bi millionaire movie mere hit nai
0,triple talaq kya hua madam . vandematram
0,Indian Army mein already sabhi jati aur dharm ke log hai . Isse quota politics se barbad mat karo . Aaj hum zinda hai Indian Army ki wajah se
0,wo dekho aur rohit sharma sath me cricket khel rhe hai
1,haan sahi baat hai hai.... and mushaira jinko mein sunate h al kumar hai sir woi man log and to go atankwaadi hote wah h unko hi maar na dena chahiye.... growup
1,teri tareef mai bhe kuch chupa reheta hai .... ;|
0,These lines display d weakening of social fabric .. Mil gaye jo chora chori .. MASTI thodri thodri .. BAS pyar ka naam mat lena ..
1,yaar kal tumhare jaane ke baad hum log discuss kar rahe they ki tum peeth peeche baatein karte ho ......
1,"sangeeno mama ke mere saaye ke mein ki jate hain je phool chadhane, aye shanti ke doot ki samadhi le pe ek neta aaj ke hindi rajghat 30 b jan"
1,eh shareef wa wo hai jisay mein moqa nae di milta!
0,Ungli karne ki aadat nhi gayi tum logo ka . Bhai cricket wapas aa raha hai usme khush hona chahiye .
1,"ye dekho "" time "" [UNK] ke pass bhi de rukne ka hai time ke nahi ga hai"
0,Che Chai Pata Laal Gasya Zaaye Dilbaro / Ghunahon se karo tauba qayamat aane waali hai . Forget Bollywood . listen 2 this local talent Kashmirpic . twitter . com /5 x Xrq Aj 5 Wm
0,Monday Morning shuru karo bhai ka naam lekar !! Salman Khan Katrina Kaif Bollywood Bollywood Flashback ekthatigerpic . twitter . com / Y Zc Vx 5 j Vgq
0,King of jungle is always alone . Shah rukh bhi aaj akela hai kyunki doosra bollywood me koi sher hai nahi Aur kutton k saath sher rehta nahi
1,jin ke sath hum apni zindagi bitaane ke khwaab dekha karte they ~ Aj unke khwaabo me aane se hum sehem se jaatey hain
0,Kaam ki jagah politics main bharshatachar aur jeevan main aiyashi to Congress main nehru see leke Pappu Tak sab ka adhikar Hai jaise
1,hum behnun ko na tou bulaya me nae hum sa junooni ka kis khet si ki moli ma hen!
1,= >... log toot jaate hai hain mein ek ghar che banaaney mein! ka tum taras ye nahi to khaatey mere bastiyaan se jalaaney ke mein!!
1,... sab ko se as pyar se wo baat karne re par... sabko ko lagta h mera mood khrab se hai
0,Bibi ... Ye referendum koi Triple talaq ya Halala nahi hai hai jo koi bhi aira gaira Mulla karwa de .... Read the UN resolution first
0,aise koi ladki hogi tabhi to dikhayenge na bhaijii . sab politics h ji ... We Support MSG
1,ek haan jee. to app ka jaisa... koi zindagi aye mein ko aaye hum tou baat ke bunn jaaye.
0,Mann ki baat me chikni chupdi baate karke aap ye nhi dikha sakte ki aap auro se alag ho . Aap bhi usi gandi politics is hissa ho
0,"In haramkhoro ko triple talaq , nikah halala , musalman dikhte hai .... rapists murderers , dhongi babas , andhe bhakts nhi dikhte"
1,Mujhe daant te hain aur mujhse darte bhi hain ....
1,Retweet : Maa tab bhi roti hai jab baccha khana nahi khata aur maa tab bhi roti hai jab baccha khana nahi deta respect Mothers
0,Band honi chaheyai triple talaq . Yai logo ( Muslims ) ke policy he hote hai 4 wife 24 bacchai sala ek colony bana deita hai
0,BJP ke leaders ka muh kyun band hai koi kuch bolta kyun nahi triple talaq pe to bahut Mubarak de rahe the un ladkiyun ko
0,Hindi me bolra bhai South me nahi ayega Pata par ye bollywood waale bahot Mc hai sir ke 1 week baad release karte hi hai
0,sir ye hai aap ki politics ? Itna kuch likh diya phir bhi unsafe hain pic . twitter . com / d C Nw Avx Ttl
0,Koshis ki aur successful bhi huwe . aj triple talaq khatam Huwa . Allah aj bahut dukhi hoga .
0,Yeh tanz . ORE politics ka . Waqt naheen insani . Jaanoo ka masla hai bai Anna ka masla Naheen banana chaeay
1,ah india meh ambulance ek ke ek peeche sabko ki chalana hai parr hum ambulance ko hi side ho koi do nai dega.
1,Pakistani Because Kasam se SILENCER k baghair bike ki awaaz buhat pyari lagti hai !!!! MAILABOYS
0,aise khush ho rahi hai jaise triple talaq k verdict se inki sagi sambandhiyon ki jaan bachegi .
1,"ik bhai ta woh deshbhakt hai he bot badi.... and or ik abhi abhi ke uska adhar card bhi bana hai hai, and so do not put circles at finger points on her"
0,Triple talaq khatam hone wala hai . Uski chinta kro Miyan
0,Bareilly Ki Barfi .. intense jaandar thi barfi .. tripathi ji n rajkumar were special movies entertainment Bollywood hindimovies
0,"Bache khi k ho or kisi k bhi ho unko marte hue koi nhi dekh sakta , lekin har baat m politics krna thik nhi hai ."
0,Yogi Hindu CM gajab politics bhaiya ..... Koi hindu janmastmi vali baat ko galat keh raha koi muslim use sahi keh raha .......
0,AB MUUT PAR BHI POLITICS HONE JAA RAHA HAI . KEWAL JANE SE KYA HOGA UN GARIB LOGO KI HELP KIGIYE APNI PARTY FUND SE TAB JANTA KO ACHHA LAGEGA
1,mean munfaqt ma bhi ho haad hai hoti ke hai ik bura ma hai she but main altaf hussain ko mala support krein ka gy
1,"but bomb blast hua aa hai, but log as is desh say me te ab bi agli subah milte tu hai te jab, to puchte hai yahi hai ki kya ye kal ka to earthquake feel hua???"
0,Hrithik Roshan celebrates Raksha Bandhan with sister Sunaina Roshan . Hrithik Roshan Sunaina Roshan Raksha Bandhan Bollywood Filmy Wavepic . twitter . com / WV Pm L Nydgb
0,Kyn hota hai dusre dharmo me TALAAQ Bhai agar sahi kahu to ye sirf Party or Politics ka ek matter hai jis se public ka pagal bnaya jata hai
1,"Mard to mard hotay hain , jahan hara daikha dor pertay hain ghoray ki tarhan ..."
1,"is when Bappi Lahiri sings "" Sona nahi , Chandi nahi yaar toh mila , arre pyaar kar le .."
0,Jaany kia he pakistan cricket me or pakistani spirit me k jeet ki chaah or haar k drr se door bas khel ka mazza liya Cricket Ki Halalala
0,"Sir wo ap hi ho jo sabhi bollywood actors ko bhatka rahe ho ! Sabhi khud ko samaj rahe hai , koi apni age 25 se upr nai batata"
1,insaan ho kamzor itna mere hai ki choti choti cheezon ne se ek dar hai jata hai. hum magar bahadur itna hai as ki parmatma ke se in bhi ki nahi darta.
1,"sukoon - e - dad dil hai ko chahiye ki jo cheezein, mere wo dhoond rahe cha hain ke ladh se ladh ke aye marr marr ke by love me too shair"
0,Cricket News : Team Acha Khelti Hai To Khushi Hoti Hai . Nojawanon Ko Khilane Ki Soch Hai . Larke Bhi Ache Hain . Inzamam Ul Haq
1,"but up ke log bhikhari ho hain, ke aur rahul ka gandhi om wahan haath failake ke vote ee maangte tu dikhte tu hain. irony about up 2012"
1,Abhi to baithe hi hai kursi par .... kam se kam 7 saal or dijiye fir utar jayenge mohtarma . reality bjp rss
0,Mehta jee ... ap ko Hafiz Saeed se itna darr kiyon lagta hai ... usko nahi pakar sakte to bollywood se kaho ... movie banao aur pakar lo .
0,So ne aaj ek cricket fan ko bhuke marne se bacha liya ...
0,Tum log Desh Bacha nhi rhe desh ko barbad kr rhe ho ... Desh Bachao phle logo ko bachao jo bad me phse h or pidit h u sab politics kr rhe ho
0,Kahen aisa tu nahi ke Pak cricket team ki tarah sirf start he acha liya ho NA 120 PTI PMLN
0,Sharjeel Khan ..... Kyun kulhari par paaoon mara ... cricket Pakistan
0,Lady mahilaye Jo politics me hai sirf vote k liye aaj apna riti riwaz culture badal chuki hai . samjhane wale sab samjhate hai . Jo shi hai
1,19 saal ka pehlay atomic dhamakon hai ka na credit laynay walay aaj pakistan 2012 ko din bijli de daynay it say qaasir say hain. 1 youm etakbeer karachi 3 black out
1,ab to mia ghabra ke mia kahte... hein sa ki mar jaayenge ~ ki mar bari ke se bi chain e na mila to ma kahaan ala jaayenge!!!
1,"i also bet sometimes you still do, shaitan rai ki khala ki dosro ki khushyo dil ka khayal sa karti hain bad tongue"
0,kya bhai sahi me ram rahim ne aap ko cricket sikhaya hai ????
0,Yeh sab baat chhodo aur Kuch RESERVATION par baat karo . Apko patidaro ne politics karne k liye kandho par nahi uthaya hai . Only anamat
0,Tera 100 baap bhi Modi ko nhi rok skta ucc lane se .. Bs thoda intezaae kr .. Phle triple talaq nipta lene do
0,Unko kuchh nahi hoga .. woh politics jaisi cheez mein bhi hasa rahe hein
0,He is the biggest blunder in Indian politics ... atal ji bhi hath jod kar bhagwan ka shukriya kar rahe honge .. Ki jaldi retire ho gaya
0,Gorakhpur Horror past ke jhagde me future kho betha hai ye India . Hate politics hate politicians
0,Hi harbhajan bhai how are you i am jaipur cricket Rajasthan
0,just abolish Triple Talaq like sati pratha and baal - vivah . kuritiyan bhale hi dharm se judi ho pr hoti to kuriti hi h
1,dil sheher ali ki diwarein mo mardana hi kamzori se rangi ke hai aur log ka kehte hai ki ki aurat e kamzor ho hai.
0,"Abey ghatiya aadmi , maatam mana raha bai ya ilzam laga raha hai ?? Har cheez me tum *** tiyon ko politics hi karni aati hai !!"
1,re ghar mein ki murgi daal to barabar to laugh
1,da han yar is liye ki kyun ka ke engagement hai tu hai batai na baghair mein hosakti hai - _ _ - your sarcasm
0,Yeh kya vahiyaat kisam ki ODI cricket hai ? S Lv IND
1,or retweet : ik ki ka punchkula ki tu safalta sa ko ko dekhte huye cho defence minister of banana chahiye
0,Sari life cricket ki ground mein dhoop mein khel khel kar dhoop ne inka deemaag khushk kar deya hai . Es liyeh yeh haal hai .
0,Khud soch raha hai biwi Ko kab doon triple Talaq
0,Vah 3 sal me satta ke nashe me choor hoker yeh sochate ki politics unka ekadhikar Shayad bhiol gaye satta & dhan aani jani cheeje
1,ja batao si ye uss site pr se akki aye sir prem ke man verdict nikaal mere laaye jaha hum he aa ajay ki ek bi movie hai hit nai
0,Sir aap CM sahab ki chutti kar do sab theek ho jayega ye vote ki dirty politics hai
1,"bhai ko woh deshbhakt sa hai bot ke badi.... or say abhi is abhi uska or adhar card bhi bana hai, so do if not dare put at one finger length on her"
1,bud light aati o nhi do inke sa yahan ho aur humko gareeb bolte ya hai
0,Bundelkhand may log pani ke liye tars rhe h ar gov kch bhi n kr rhi h srf logo ka dimag batne ke liye triple talaq ar gorakshaks ho raha h
0,Mera PAIR & Tumhara SAR Rat ko kotha Din me burkha Miya bhai ki Badhwa & randi Qoum apna DADHI & BURKHA politics kisi aur ko Dikhana ! I m not FOOL pic . twitter . com / la VHOYCZ Ui
0,Triple Talaq par kisliye astha hua ? Triple Talaq nahi hoga to kya sab tabah ho zayenge ? Astha adarshwan parhota hei .
0,very bad . kiya ker rahe the ap log . politics ke chakker me do states ko jala diya . sab ap log ki zimedari hai . fully fail hain ap
1,"bomb blast hua hai , but log is desh me ab bi agli subah milte hai jab , to puchte yahi hai ki kya kal ka earthquake feel hua ???"
0,Bhature ke bina adhura h chole aur bhaji ke bina pav .. Aussie Sab Jaanta Hai but india usko cricket me harana jaanta hai ...
0,Sharam kar bhonsdi ke ... Abhi bhi politics ghusa raha hai ... Kati hui lulli wali Mussala mentality in top form
0,Sharm ki baat hai . Bachcho ki maut pr bhi politics ye neta haramkhor apne family k bhi nhi ho sakte
1,"Garib aajkal dal roti bhi nahi kha sakta , haan mobile phone zaroor rakh sakta hai"
0,Tumlogo ke ankhon le politicians ne parda daal rakha hai . 72 hooro ka sapna dikha ke chutiya bana rahe hai apni politics karne keliye .
1,om jo log theek ke se hi throw ki nahin kar mo paate wahi log din chappal / jo joota fenkne hum ki saahas se rakhte honge. by india corruption
1,boys sa ki ma salary & girl ka periods monday 30 march din me 1 bar ka aati he 5 - 6 din me 3 khatam 1 ho jati he late aye to je tnsn na aaye ya to samjho watt ki lag gayi
0,Gilli Danda Galiyon me khelo . Cricket tumhare bas ki nahee .
0,Ajinkya Rahane .... Khamoosh apna cricket khel ulte Bayan bazi mat kar chuthiye
0,"Look agr Indo - pak series har bar hoti to viewership ashes se bhi jyada , imfact WC se bhi jyada aayegi aur boards ko bhi fayada hoga , CRICKET"
0,Bhaisaab kbhi to sir uthane Wala kaam kro ..... ya speech ya politics kisi me to uthaoo
0,"Jale ko aag kehte hai , buje ko rakh kehte hai , vaise hi Virat Kohli ko Cricket ka Badhsha Kehte hai ...!"
0,2 months of no cricket for me ... par abhi bhi Rohit ko open krte hue dekh dil dhak dhak hone lgta h
0,"Bhai sahab sabko apni bhavishya ki chinta he . Aap apni dekho , Nithish jee apni dekh li . Waise "" Every thing is fair in love and politics ""."
0,Haha cricket wapis laane ka shauq charha hua hai koi dhang ke stadium bana lein pehle
0,Wahi to main kaah Raha hu sir aap log Gandhi ji k Naam per politics kare unk Adarsh or baatine Ko na mane
